Name,RAJ2000,DEJ2000,x_kpc,y_kpc,z_kpc,SpType_a,Teff,j_m,j_msigcom,j_snr,h_m,h_msigcom,h_snr,k_m,k_msigcom,k_snr,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ruwe,r_est,r_lo,r_hi,r_len,Ks,H,J,Ks_0,H_0,J_0,MKs,Mbol,sample
Gaia EDR3 5595705430166381184,117.93045829999998,-30.4510833,-9.567407560778737,-3.6111724868810438,-0.09457948283572673,M0,3790.0,4.846,0.268,430556.0,3.52,0.20600000000000002,768971.0,3.157,0.248,415547.0,5595705430166381184,117.93045196013165,0.028788658834467813,-30.451069049188305,0.03645433922496251,0.2539039943110246,0.04408341682929268,-1.2565946549087708,0.06222476202275967,3.5925238367960115,0.06867018164380022,12276875.40677114,28552.533798900786,7.9656463,3.0515032000000004,1.8008895,1.2506137,50.86964776318482,0.3001260337873244,246.54165338314,-1.811039451847264,0.98355585,3504.44567175608,3016.00369770886,4167.57929955636,1485.29394648275,3.157,3.52,4.846,2.917,4.282060020685196,2.9560600206851966,-9.806096658251498,-7.108327658251499,gold
Gaia EDR3 5334446516614032128,171.7485833,-61.3693333,-7.1733036364161515,-1.9481106491637463,0.017332060763018943,M1,3745.0,2.7769999999999997,0.27,1000000.0,1.942,0.25,1000000.0,1.59,0.29600000000000004,1000000.0,5334446516614032128,171.74852276267055,0.07024216736367771,-61.36931551693965,0.06746690630117766,0.4725317408269447,0.08282350998119557,-7.129167438467928,0.1391166988131678,1.5427692139467464,0.1312069308293551,100124641.1339015,740346.9261455046,5.687012999999999,3.0707846,1.9770517,1.0937328000000002,,,292.9938990231682,-0.1376134179624721,0.7715818,2031.4876605748104,1713.6465199321499,2486.7566099283104,1522.9053893363,1.59,1.942,2.7769999999999997,1.46,2.4773546483661386,1.6423546483661386,-10.079070943648,-7.3471514436479985,gold
Gaia EDR3 2010561709812955264,350.6281667,59.30725,-8.684812153968691,1.7125142455766451,-0.025263595245305547,M1,3745.0,3.208,0.244,1000000.0,2.019,0.19399999999999998,1000000.0,1.584,0.23600000000000002,1000000.0,2010561709812955264,350.6281570618612,0.06811763208371019,59.30723803984825,0.04982360101420498,0.5419872964654483,0.08237324350345801,-3.4269529591521333,0.12547143799832652,-2.0704118168391292,0.08745350086216809,24138634.341727953,89066.95484597223,7.231584,3.6023116,2.2677846,1.334527,-63.6231041158086,0.7233355402895159,111.79237654292808,-1.6275854010033854,0.98316693,1760.63551931532,1525.5401183181302,2076.8992289019893,1007.2306624331801,1.584,2.019,3.208,1.3840000000000001,2.732072415358462,1.543072415358462,-9.844347295641288,-7.112427795641287,gold
Gaia EDR3 2057564148278709760,305.34119541666666,36.93214666666667,-7.651301242872852,1.330837018361154,0.02659747516824632,M4,3535.0,2.345,0.256,1000000.0,1.143,0.168,1000000.0,0.7240000000000001,9.996,1000000.0,2057564148278709760,305.3411806974866,0.06344084685751844,36.932123387818386,0.07534296146492912,0.72687524284429,0.08109634603505522,-2.9285166050161804,0.14010803736281285,-5.2225011217249415,0.15079908574828754,46714816.35182329,174905.9367073474,6.514729,4.2021203,2.7678857000000003,1.4342346000000001,-6.815613434892907,0.4169930352356717,75.31960699426627,0.11180401297527576,1.0872246,1334.19375290612,1199.28156047994,1502.2737631119599,1046.1849680402302,0.7240000000000001,1.143,2.345,0.4740000000000001,1.7685321181043332,0.566532118104333,-10.152094514123851,-7.260806014123851,gold
Gaia EDR3 2003598056004201600,341.930945,55.15841999999999,-8.773836113079193,2.728831981381919,-0.14853647590704747,M4,3535.0,3.815,0.224,936332.0,2.672,0.166,1000000.0,1.932,0.20600000000000002,1000000.0,2003598056004201600,341.9309193332893,0.0624087596764559,55.15840756626825,0.06061625367883707,0.3518963047395327,0.07076897010187923,-3.20697951432304,0.12185787736777225,-3.150359197419873,0.12085302481022965,29909777.00079093,248129.5691385589,6.9988327,3.530501,2.1624622000000002,1.3680386999999998,,,105.82235759217129,-3.54994585574201,0.9116464,2575.03979116167,2161.63221318911,3163.17003362581,999.060016094848,1.932,2.672,3.815,1.8419999999999999,3.606322571631096,2.4633225716310956,-10.211919722125703,-7.320631222125701,gold
Gaia EDR3 4146162626429996544,274.60725,-15.3036667,-6.048036336266334,0.5447176505637596,0.02470301120054525,M4,3535.0,2.96,0.302,1000000.0,1.82,0.26,893120.0,1.366,0.31,944104.0,4146162626429996544,274.60723465389566,0.10436130196821412,-15.303656781870384,0.10266799968278614,0.4934601430454164,0.10440943664695312,-0.3482795222037658,0.19086899885551534,-0.8923422922356392,0.17060992726162594,32162512.04908544,162250.26398377464,6.9199910000000004,3.5883803,2.2435136000000004,1.3448668,-9.760277793803727,0.6141940781020375,15.592773959627126,0.16396410005432466,1.0387005999999999,1967.9743130364893,1596.20429801265,2549.71889098156,1477.06875724208,1.366,1.82,2.96,1.086,2.3027244375663303,1.1627244375663306,-10.384097127541363,-7.492808627541362,gold
Gaia EDR3 2013630378050340480,345.52175,59.8183889,-9.027572657430218,2.888495698128587,0.01811469527578877,M3,3605.0,3.404,0.212,1000000.0,2.299,0.172,1000000.0,1.731,0.25,1000000.0,2013630378050340480,345.52168143576637,0.05593226431538397,59.81837705848338,0.05959501819622525,0.3261737411611823,0.06106476852978845,-3.407493736070513,0.10249118316712563,-3.2436910515730215,0.10778831923894014,16836481.80146913,64312.262172630115,7.622737400000001,3.6548634,2.3082156000000005,1.3466477,-59.093791773586766,0.3743174804186293,109.58311316296906,-0.18874235652894505,0.94169426,2772.4325225451007,2352.09927638494,3358.77830797529,1094.10283298233,1.731,2.299,3.404,1.431,2.7047001497579837,1.5997001497579837,-10.783304923893297,-7.9451394238932975,gold
Gaia EDR3 2011021580551301248,353.76,58.5711667,-9.251575403231467,2.9338148548698952,-0.12897389413004548,M3,3605.0,4.245,0.268,608737.0,3.145,0.23399999999999999,693282.0,2.523,0.36200000000000004,745109.0,2011021580551301248,353.7599784211776,0.05098784975741615,58.57116725486429,0.04531412805218992,0.3131502733907196,0.06385842916739203,-2.845315451764544,0.09396015495743444,-2.0843531852947543,0.08109560098075802,13445818.498498153,35468.92624180225,7.8668976,3.3482112999999996,2.0577955,1.2904158000000001,-62.067478308851044,0.3568742729063476,113.09590658309904,-2.8339951066128446,1.0771734,2834.93656375914,2385.48612772967,3468.72810436568,972.148274367573,2.523,3.145,4.245,2.2430000000000003,3.5870700241327285,2.487070024132729,-10.01971672651924,-7.1815512265192405,gold
Gaia EDR3 2014856951986412672,347.54539,61.24162083333334,-9.187914856637553,3.0855063919372374,0.07060519049531874,M3,3605.0,4.069,0.208,691560.0,2.9810000000000003,0.17800000000000002,834661.0,2.5140000000000002,0.23399999999999999,725805.0,2014856951986412672,347.5453501478902,0.0474583552242257,61.241612908170346,0.05287258275397262,0.3024246156537522,0.061297564581578826,-4.3904400534111865,0.09121775449201497,-1.9910270778719041,0.08682958034851226,11886726.5135794,28309.465899163373,8.0007105,3.3920417,2.07195,1.3200916999999999,-42.16053172029072,0.5299604402217715,111.05951147207183,0.7258690611210906,1.0436485,2962.50020200768,2487.91070450511,3637.39129627264,1161.5231944274099,2.5140000000000002,2.9810000000000003,4.069,2.0440000000000005,2.9772700068950653,1.8892700068950656,-10.314291943159693,-7.476126443159692,gold
Gaia EDR3 2012859963999694848,356.0136725,61.789497222222224,-9.008355534996848,2.156793101733152,0.02616636891658384,M3,3605.0,2.35,0.17,1000000.0,1.2919999999999998,0.154,1000000.0,0.7809999999999999,0.19399999999999998,1000000.0,2012859963999694848,356.0136361087442,0.05912566858142665,61.789488649351476,0.06407350497441339,0.4200117335048291,0.08092409513239697,-3.1095840090193616,0.11801469995673206,-1.8075933242457496,0.10997582405239448,41723986.42126918,298560.4953777345,6.637401,3.9647245000000004,2.5449195,1.419805,-51.34699770936445,0.4140739177282496,115.05815347868456,-0.047809339575359135,1.0648636,2227.3007727628697,1863.6484482895105,2752.5630611708502,1115.09510287472,0.7809999999999999,1.2919999999999998,2.35,0.5609999999999999,1.84775411746254,0.7897541174625395,-11.177894338720147,-8.339728838720148,gold
